phase,reuse,replicate,variant,curve_index,x,seed,samples,estimate,exact,error,empirical_stderr
1,10,0,default_uniform,1,2.0,982176266046810260,10000,-0.12718332634462617,-0.1273050380753717,0.00012171173074551622,0.00025074969614017673
1,10,0,default_uniform,2,-2.0,1764404989148991296,10000,-0.8906442258242802,-0.8884494598171035,-0.0021947660071766073,0.0015460359978457093
1,10,0,default_uniform,2,-1.0,1764404989148991297,10000,-0.7444857642726792,-0.7455466141264027,0.0010608498537234556,0.0010656519778501734
1,10,0,default_uniform,2,0.0,1764404989148991298,10000,-0.5193659614903195,-0.5187412158785353,-0.000624745611784272,0.0006542224004130708
1,10,0,default_uniform,2,1.0,1764404989148991299,10000,-0.2846615837088955,-0.28394020618429017,-0.0007213775246053267,0.00046277478768402976
1,10,0,default_uniform,2,2.0,1764404989148991300,10000,-0.12727730920697386,-0.1273050380753717,2.772886839783051e-05,0.0002512868658549537
1,10,0,default_uniform,3,-2.0,2454329897355554734,10000,-0.8874745852033009,-0.8884494598171035,0.0009748746138026343,0.0016347407962112065
1,10,0,default_uniform,3,-1.0,2454329897355554735,10000,-0.7466256516177739,-0.7455466141264027,-0.001079037491371282,0.0010080969667707704
1,10,0,default_uniform,3,0.0,2454329897355554736,10000,-0.518686933719652,-0.5187412158785353,5.428215888325649e-05,0.0006365933978335804
1,10,0,default_uniform,3,1.0,2454329897355554737,10000,-0.2840421916989428,-0.28394020618429017,-0.00010198551465262495,0.0004621883181790379
1,10,0,default_uniform,3,2.0,2454329897355554738,10000,-0.12768118349352633,-0.1273050380753717,-0.0003761454181546442,0.0002555807680511077
1,10,0,default_uniform,4,-2.0,13607255872739168852,10000,-0.8886134794018475,-0.8884494598171035,-0.0001640195847439907,0.0015902973647588775
1,10,0,default_uniform,4,-1.0,13607255872739168853,10000,-0.7437087496900189,-0.7455466141264027,0.0018378644363837848,0.001056307107087893
1,10,0,default_uniform,4,0.0,13607255872739168854,10000,-0.5186751722709443,-0.5187412158785353,6.604360759099315e-05,0.0006474169114790133
1,10,0,default_uniform,4,1.0,13607255872739168855,10000,-0.2837976091354854,-0.28394020618429017,0.0001425970488047601,0.0004593681017130182
1,10,0,default_uniform,4,2.0,13607255872739168856,10000,-0.12728165956460877,-0.1273050380753717,2.3378510762922522e-05,0.0002525707631033922
1,10,0,default_uniform,5,-2.0,16814738025975547202,10000,-0.8895799368789614,-0.8884494598171035,-0.0011304770618578708,0.001553748420497913
1,10,0,default_uniform,5,-1.0,16814738025975547203,10000,-0.7445660597600251,-0.7455466141264027,0.0009805543663775618,0.001045002213083825
1,10,0,default_uniform,5,0.0,16814738025975547204,10000,-0.5184882498893111,-0.5187412158785353,0.00025296598922419644,0.0006553804964037803
1,10,0,default_uniform,5,1.0,16814738025975547205,10000,-0.283833109193604,-0.28394020618429017,0.00010709699068617295,0.0004634855389886728
1,10,0,default_uniform,5,2.0,16814738025975547206,10000,-0.12706825204891714,-0.1273050380753717,0.0002367860264545496,0.00025209601205364746
1,10,0,default_uniform,6,-2.0,9115099325946792264,10000,-0.8888108475056364,-0.8884494598171035,-0.00036138768853288816,0.0015873489757210718
1,10,0,default_uniform,6,-1.0,9115099325946792265,10000,-0.7461452754574076,-0.7455466141264027,-0.000598661331004946,0.0010231605039230185
1,10,0,default_uniform,6,0.0,9115099325946792266,10000,-0.5189164793428307,-0.5187412158785353,-0.0001752634642954165,0.0006411774836743289
